"","lead_id","name","company","qualification_level_code_text","user_status_code_text","account_life_cycle_status_code_text","life_cycle_status_code_text","origin_type_code_text","priority_code_text","group_code_text","c4c_account_state","bci_project_state","bci_project_type","bci_project_status","estimated_project_value","bci_project_stage","opportunity_id","sale","project_state","log_value","type"
"805",30553,"66 Douglas Pde Lot 1 on TP693536Y Williamstown VIC 3016","Leigh Design Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (10) | shop - 6 storey","Development Application",3100000,"Documentation","NULL","0","Development Application",14.9469126694554,"apartment"
"806",30614,"CAIRNS &amp; DISTRICT CHINESE ASSOCIATION INC","Cairns & District Chinese Asso","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","cultural centre | museum - single storey | tea house - 2 storey","Deferred",3500000,"Documentation","NULL","0","low_chance",15.0682735264596,"house"
"807",30617,"96-98 Tennyson St Elwood VIC 3184","Ratio Consultants Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (14) - 3 storey","Construction Commenced",2500000,"Construction","NULL","0","Construction Commenced",14.7318012898384,"apartment"
"808",30631,"ATELIER RESIDENCES / VERIU HOTEL","Cox Architecture Pty Ltd - Mel","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","hotel (96 rooms) | apartments (53) | restaurants | shops - 8 & 9 storey","Construction Commenced",26950000,"Construction","30055","1","Construction Commenced",17.1094938553193,"apartment"
"809",30632,"41 Broadarrow Rd Lot 10 DP 875415 Narwee NSW 2209","Accessible Building Solutions (Howa","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (63) | restaurants (3) | shop / office - 8 storey","Development Application",33062784,"Documentation","NULL","0","Development Application",17.313918857338,"apartment"
"810",30634,"653-655 Glen Huntly Rd Lots 1 & 2 on SP22206 Caulfield VIC 3162","Pather Architects Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (15) | shop - 5 storey","Deferred",3200000,"Documentation","NULL","0","low_chance",14.97866136777,"apartment"
"811",30638,"BRIDGE RENEWAL PROGRAM - SCOTT LANE","Logan City Council","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","bridge - replacement","Tenderers Named",4500000,"Tender","NULL","0","Tenderers Named",15.3195879547405,"public"
"812",30642,"SAMUEL GILBERT PUBLIC SCHOOL","Australian Bushfire Protection Plan","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","school - redevelopment - 3 storey","Construction Commenced",28369193,"Construction","NULL","0","Construction Commenced",17.1608143608394,"public"
"813",30662,"421-439 Glen Huntly Rd Lot 1 on TP113229Y Elsternwick VIC 3185","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (23) | shops (8) | office - alterations & additions - 8 storey","Development Approval",1.4e+07,"Documentation","NULL","0","Development Approval",16.4545678875795,"apartment"
"814",30668,"WARDEN&apos;S WALK COBURG","Urbis Pty Ltd - Melbourne","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (339) | shops (2) | supermarket - 2 buildings - 15 storey","Development Approval",5.7e+07,"Documentation","NULL","0","Development Approval",17.8585618257988,"apartment"
"815",30687,"NO 1 KAIPIHO LA APARTMENTS","Harcourts Sunnynook trading as Coop","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","apartments (280) - 24 storey","Development Approval",8e+07,"Documentation","NULL","0","Development Approval",18.1975371926382,"apartment"
"816",30688,"KINGSTON VILLAGE","Clark Fortune McDonald &amp; Associ","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","subdivision (750 lots) - residential","Development Application",5.2e+07,"Documentation","NULL","0","Development Application",17.7667542765457,"other"
"817",30692,"PETER KITTLE MOTOR COMPANY","Stanton Dahl & Associates Pty","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","South Australia","motor showroom | motor repair station - 3 storey","Abandoned",2e+06,"Documentation","NULL","0","low_chance",14.5086577385242,"commercial"
"818",30704,"35 Crooked Billet Dr Bridgewater TAS 7030","Watson Young Architects Pty Lt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Tasmania","warehouses (2) | storage units (8) | offices | cafe - 2 storey","Tenders To Be Called",3e+06,"Documentation","NULL","0","Tenders To Be Called",14.9141228466324,"house"
"819",30709,"17-19 & 21 Dunning Ave Lot 27-28 DP 192683 Lot 1  DP 89963 Rosebery NSW 2018","Urbis Pty Ltd - Sydney","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","offices (7) - 4 storey","Tenders To Be Called",8061000,"Documentation","NULL","0","Tenders To Be Called",15.9025481762657,"commercial"
"820",30730,"79-87 Hawthorn Rd Lot 1 on TP200416 & LP35841 Caulfield North VIC 3161","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (33) | cafes (2) | office - 7 storey","Contract Awarded/Builder Apptd",1.6e+07,"Tender","NULL","0","Contract Awarded/Builder Apptd",16.5880992802041,"apartment"
"821",30734,"DENISE NORTON PARK / PARDIPARDINYILLA (PARK 2)","MLEI Consulting Engineers - Adelaid","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","SA","South Australia","streetscape for park - upgrade","Abandoned",3e+06,"Tender","NULL","0","low_chance",14.9141228466324,"road"
"822",30749,"CANTERBURY RD UPGRADE STAGE 1","VicRoads - Metro South East Re","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","road - widening","Tenderers Named",1e+07,"Tender","NULL","0","Tenderers Named",16.1180956509583,"road"
"823",30754,"177 High St & Dudley St Lower Hutt NZ 5010","Designgroup Stapleton Elliott - Wel","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","apartments (32) - refurbishment - 2 buildings - up to 4 storey","Deferred",1e+07,"Documentation","NULL","0","low_chance",16.1180956509583,"apartment"
"824",30755,"BIODIVERSITY BUSINESS PARK","CBRE Pty Ltd - Melbourne","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","industrial buildings (72) | warehouses | business park","Construction Commenced",3.6e+07,"Construction","NULL","0","Construction Commenced",17.3990294964204,"house"
"825",30768,"ROCKHAMPTON ALCOHOL & DRUG REHABILITATION FACILITY","Paynters (formerly Paynter Dix","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","rehabilitation centre (42 beds)","Construction Commenced",14250000,"Construction","27467","1","Construction Commenced",16.4722674646789,"other"
"826",30780,"19 Cambridge Rd Lot 1 on PS332475X Mooroolbark VIC 3138","John Patrick Landscape Architects P","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (10) - 2 storey","Appeal Lodged",2e+06,"Documentation","NULL","0","Appeal Lodged",14.5086577385242,"townhouse"
"827",30792,"FORESTWAY SHOPPING CENTRE REDEVELOPMENT","Urbis Pty Ltd - Sydney","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","shopping centre - redevelopment - 3 storey","Development Application",114358000,"Documentation","NULL","0","Development Application",18.5548444366331,"other"
"828",30819,"ROXY THEATRE REDEVELOPMENT","Lucas Stapleton Johnson & Part","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","theatre - alterations & additions - 2 storey","Development Application",7200000,"Documentation","NULL","0","Development Application",15.7895915839863,"other"
"829",30833,"WESTFIELD MARION SHOPPING CENTRE","Westfield Marion (trading as S","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","SA","South Australia","shopping centre - alterations & additions - single level | multi-storey car park - 4 storey","Development Approval",2.3e+08,"Documentation","NULL","0","Development Approval",19.2535898668875,"other"
"830",30855,"AWAKERI (TAKANINI STORMWATER CONVEYANCE ) STAGES 2 &amp; 3","Auckland Council","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","culvert","Sketch plans",1e+07,"Documentation","NULL","0","Sketch plans",16.1180956509583,"other"
"831",30866,"9-13 Berrima St Lots 78-80 on LP65179 Oakleigh East VIC 3166","Ardcon Building Designers - Head Of","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (4) | shops","Development Application",1500000,"Documentation","NULL","0","Development Application",14.2209756660724,"apartment"
"832",30882,"HOUSING NEW ZEALAND - EPUNI OVERALL","Solari Architects Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","social housing units (153) | community centre - up to 3 storey","Development Approval",2e+07,"Documentation","NULL","0","Development Approval",16.8112428315183,"public"
"833",30890,"THE DOCK APARTMENTS","Dulux Group [AU]","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project",NA,"Victoria","apartments (13) - 3 storey","Construction Commenced",2600000,"Construction","NULL","0","Construction Commenced",14.7710220029917,"apartment"
"834",30899,"680S Berwick-Cranbourne Rd Clyde North VIC 3978","Contour Consultants Australia Pty L","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","supermarket | shops | cafes","Development Approval",11268000,"Documentation","NULL","0","Development Approval",16.2374774079784,"other"
"835",30904,"66-68 Jolimont St Lot 1 on TP8688357Y cnr Sophie La East Melbourne VIC 3002","Adapt Architecture Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (9) | cafe - 10 storey","Development Application",5500000,"Documentation","NULL","0","Development Application",15.5202586502027,"apartment"
"836",30909,"15 Leppington St Lot 341 DP 557761 Wyong NSW 2259","ACOR Consultants (CC) Pty Ltd - Cen","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","boarding house (25 rooms) - 2 buildings - 2 storey","Tenderers Named",2421000,"Tender","28851","1","Tenderers Named",14.6996912359202,"house"
"837",30918,"OBERON SPORTS COMPLEX","ACOR Consultants Pty Ltd - Sydney","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","sports facilities | clubhouse | grandstand - 2 storey","Sketch plans",2e+07,"Documentation","NULL","0","Sketch plans",16.8112428315183,"house"
"838",30933,"CASTLE HILL MEDICAL CENTRE","Group HiS - Sydney","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","medical centre - 3 storey","Development Approval",6829317,"Documentation","NULL","0","Development Approval",15.7367352265466,"public"
"839",30941,"PENFOLDS BUSINESS PARK,","Thomas Anderson Design Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","warehouses (11) - 2 storey","Development Approval",2200000,"Documentation","NULL","0","Development Approval",14.6039679183285,"house"
"840",30945,"23 Sixth Ave Lot 1 DP 125366 Campsie NSW 2194","Acoustic Logic Consultancy Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","boarding house (21 rooms) - 3 storey","Development Application",3341390,"Documentation","NULL","0","Development Application",15.0218974460438,"house"
"841",30950,"2-10 Homer St Lot 1 DP 721370 Lot 3 DP 334484 Earlwood NSW 2206","Pinnacle Plus Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (9) | offices (4) | shops (2) - 3 storey","Development Approval",3500000,"Documentation","NULL","0","Development Approval",15.0682735264596,"apartment"
"842",31010,"8 Garth St Lot 11 on PS008982 Ivanhoe VIC 3079","Northern Environmental Design Pty L","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (7) - 3 storey","Development Approval",3800000,"Documentation","NULL","0","Development Approval",15.1505116246966,"townhouse"
"843",31024,"CHULLORA MARKETPLACE","Henroth Investments Pty Ltd (a","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (350) | shops / offices - 5 buildings - part 2 & 6 storey","Rezoning",7.5e+07,"Concept","NULL","0","Rezoning",18.1329986715006,"apartment"
"844",31033,"NEPEAN PRIVATE HOSPITAL EXPANSION","SK Architecture Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","New South Wales","hospital - expansion - 4 storey","Tenders To Be Called",29913000,"Documentation","NULL","0","Tenders To Be Called",17.213803726479,"public"
"845",31034,"SOL HOUSE","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","serviced apartments (41) | offices (17) | medical centre | shops (3) | cafes (3) - 9 storey","Development Approval",2e+07,"Documentation","NULL","0","Development Approval",16.8112428315183,"apartment"
"846",31039,"EMUNGALAN RD & LEIGHT CREEK CROSSING BRIDGE","Aurecon Australasia Pty Ltd - Darwi","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NT","Northern Territory","roadworks - upgrade","Tenders To Be Called",2500000,"Documentation","NULL","0","Tenders To Be Called",14.7318012898384,"road"
"847",31068,"341-347 Queensberry St Lot 1 on TP575714 & TP68212C Peel St North Melbourne VIC 3051","Planning & Property Partners Pty Lt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","serviced apartments (14) | shop | cafe - 8 storey","Tenders To Be Called",5e+06,"Documentation","NULL","0","Tenders To Be Called",15.4249484703984,"apartment"
"848",31079,"442-446 Malvern Rd Lot 1 on LP80025 Prahran VIC 3181","First Melbourne Developments G","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (13) | offices (2) | cafe - 6 storey","Construction Commenced",9450000,"Construction","NULL","0","Construction Commenced",16.0615252994699,"apartment"
"849",31092,"8 Darling Rd PS340679K Malvern East VIC 3145","Leigh Design Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (4) - 2 storey","Construction Commenced",2500000,"Construction","NULL","0","Construction Commenced",14.7318012898384,"apartment"
"850",31100,"BRIDGE RENEWAL PROGRAM: TUMMAVILLE & HIRSTGLEN RD BRIDGE","Toowoomba Regional Council - T","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","bridges (2) - replacement","Construction Commenced",3140000,"Construction","NULL","0","Construction Commenced",14.9597333578844,"public"
"851",31101,"18 Marnoo St Lot 56 on PS10667 Braybrook VIC 3019","M7 Design Group Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (4) - 2 storey","Construction Commenced",9e+06,"Construction","NULL","0","Construction Commenced",16.0127351353005,"townhouse"
"852",31126,"ROSE ST HOTEL","Woods Bagot (VIC) Pty Ltd - Me","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","hotel (127 rooms) - 7 storey","Construction Certificate Submitted",2.2e+07,"Documentation","29088","1","low_chance",16.9065530113226,"commercial"
"853",31132,"318-320 Smith St Lot 1 on TP578775V & TP578776V Collingwood VIC 3066","Glossop Town Planning Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (9) | shop - alterations & additions - 6 storey","Tenderers Named",3500000,"Tender","NULL","0","Tenderers Named",15.0682735264596,"apartment"
"854",31135,"ANGLICARE - PANORAMA","Mossop Construction + Interiors SA","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","SA","South Australia","apartments (23) | townhouses (10) - 2 & 3 storey","Tenders To Be Called",8e+06,"Documentation","NULL","0","Tenders To Be Called",15.8949520996441,"apartment"
"855",31136,"45 Gibdon St Burnley VIC 3121","Planning & Property Partners Pty Lt","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (81) | office - alterations & additions - 3, 5, 6, 7 & 8 storey","Appeal Lodged",27500000,"Documentation","NULL","0","Appeal Lodged",17.1296965626368,"apartment"
"856",31142,"68-72 Green St Lot 1-6 on PS303214S Cremorne VIC 3121","Adams Consulting Engineers Pty Ltd","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","offices (11) | shops (3) | cafes (3) - 2 buildings - 4 & 9 storey","Development Approval",3.5e+07,"Documentation","NULL","0","Development Approval",17.3708586194537,"commercial"
"857",31148,"BOTTEN + BOWSER","Future Urban Group","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","SA","South Australia","apartments (27) | shops (2) - 7 storey","Development Approval",1.2e+07,"Documentation","29610","1","Development Approval",16.3004172077523,"apartment"
"858",31151,"5-9 Alexandra Pde Lot 1 on TP109080G, Lot 1 on TP529205U & Lot 1 on TP371456T Collingwood VIC 3066","Koul Group Pty Ltd (aka Koul P","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (53) | shop - 11 storey","Construction Certificate Submitted",1.1e+07,"Documentation","NULL","0","low_chance",16.2134058307626,"apartment"
"859",31155,"64 Tennyson St Williamstown North VIC 3016","John Patrick Landscape Architects P","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","warehouses (35) - single storey","Construction Certificate Submitted",7e+06,"Documentation","NULL","0","low_chance",15.7614207070196,"house"
"860",31157,"CENTRAL PARK","Figurehead Constructions Pty L","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (20) - 3 storey","Construction Commenced",1.4e+07,"Construction","NULL","0","Construction Commenced",16.4545678875795,"apartment"
"861",31174,"8 York St Lot 39 on LP019993 Glen Waverley VIC 3150","Metropol Planning Solutions Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (4) - 2 storey","Development Approval",2e+06,"Documentation","NULL","0","Development Approval",14.5086577385242,"townhouse"
"862",31210,"235 Imlay St Lot 6 DP 553117 Eden NSW 2551","VRD Design","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","ACT","New South Wales","townhouses (11) - 2 storey","Development Application",3990000,"Documentation","NULL","0","Development Application",15.199301788866,"townhouse"
"863",31258,"WOODSIDE / BHP JV - SCARBOROUGH UMBILICAL RISERS &amp; FLOWLINES","BHP Billiton Petroleum Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","WA","Western Australia","umbilical line for floating liquefied natural gas (flng) field","Tenders To Be Called",2e+07,"Documentation","NULL","0","Tenders To Be Called",16.8112428315183,"other"
"864",31260,"BENDIGO LAW COURTS","Kane Constructions (VIC) Pty L","Hot","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","law court building - 5 storey","Tenderers Named",152400000,"Tender","25820","1","Tenderers Named",18.8420192012168,"other"
"865",31271,"206 Tennyson St Lots 1 & 2 on TP692825W Elwood VIC 3184","Tract Consultants Pty Ltd - Me","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (7) - 3 storey","Construction Certificate Submitted",2500000,"Documentation","NULL","0","low_chance",14.7318012898384,"apartment"
"866",31274,"81-89 Queens Pde Lot 1 on TP225789H (Alexandra Pde & George St) Fitzroy North VIC 3068","Cox Architecture Pty Ltd - Mel","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","serviced apartments (110) | offices | supermarket - 8 storey","Site for Sale",29489000,"Documentation","NULL","0","low_chance",17.1995278704166,"apartment"
"867",31292,"NEWTOWN COMMUNITY FACILITIES UPGRADE","Wellington City Council","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","community centre - upgrade - up to 3 storey","Tenders To Be Called",2728000,"Documentation","NULL","0","Tenders To Be Called",14.8190792979455,"public"
"868",31302,"181 Woods Rd Lot 2 on PS440905 Truganina VIC 3029","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (69) - 2 storey","Development Application",2e+07,"Documentation","NULL","0","Development Application",16.8112428315183,"townhouse"
"869",31304,"2 O&apos;Reilly St Lot 1 DP 758829 Parramatta NSW 2150","Andrew Martin Planning Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","boarding house (33 rooms) - 3 storey","Development Approval",4010000,"Documentation","NULL","0","Development Approval",15.2043017992828,"house"
"870",31311,"SPOT ON SWAN","Urbis Pty Ltd - Melbourne","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","office building | restaurants (2) | shop - 14 storey","Tenders Closed Contract not yet Let",4.2e+07,"Tender","NULL","0","low_chance",17.5531801762476,"commercial"
"871",31379,"WESTERN SYDNEY AIPORT - TERMINAL PRECINCT","Design Inc Ltd (aka DesignInc)","Hot","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","terminal precinct for airport","Tenderers Named",1e+09,"Tender","NULL","0","Tenderers Named",20.7232658369464,"other"
"872",31384,"405-407 Mona Vale Rd Lot 1 DP 783942 & Lot 2 DP 13413 St Ives NSW 2075","Australian Energy Efficiency Consul","Warm","Converted","Active","Converted","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","senior living units (6) - 2 storey","Development Approval",2048000,"Documentation","29710","1","Development Approval",14.5323742651415,"aged_care"
"873",31388,"71 LANGRIDGE ST","Ratio Consultants Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","offices (7) | shop - 7 storey","Construction Certificate Approved",14700000,"Documentation","NULL","0","low_chance",16.503358051749,"commercial"
"874",31389,"PIEDIMONTE SUPERMARKET","David Lock Associates (Australia) P","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (58) | townhouses (8) | supermarket - alterations & additions - 5 & 7 storey","Appeal Lodged",4.5e+07,"Documentation","NULL","0","Appeal Lodged",17.6221730477346,"apartment"
"875",31391,"2 Dalgety St Lot 1 on TP 385782B St Kilda VIC 3182","Chamberlain Architects Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (7) - 3 storey","Tenders To Be Called",2e+06,"Documentation","NULL","0","Tenders To Be Called",14.5086577385242,"townhouse"
"876",31398,"TUCKFIELD ST TOWNHOUSES","RBA Architects & Conservation","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (10) - 2 storey","Development Approval",2500000,"Documentation","NULL","0","Development Approval",14.7318012898384,"townhouse"
"877",31402,"41 Mathoura Rd Toorak VIC 3142","Demaine Partnership Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (7) - 3 storey","Deferred",7500000,"Documentation","NULL","0","low_chance",15.8304135785065,"apartment"
"878",31443,"MOUNTAIN HIGH SHOPPING CENTRE","Kapitol Group Pty Ltd - Head O","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","shop | gym | childcare centre (100 place) | medical centre - alterations & additions - 2 storey","Tenderers Named",4300000,"Tender","NULL","0","Tenderers Named",15.2741255806638,"public"
"879",31447,"FRESHWATER HOUSE - LONG BAY HOSPITAL","Justice Health & Forensic Ment","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","mental health facility (5 rooms) for hospital - single storey","Tenders To Be Called",8017000,"Documentation","NULL","0","Tenders To Be Called",15.8970748450251,"public"
"880",31478,"ROTARY PARK SCIENCE HUB / PORT MACQUARIE OBSERVATORY","King & Campbell Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","science & astronomy centre - redevelopment","Development Approval",3500000,"Documentation","NULL","0","Development Approval",15.0682735264596,"other"
"881",31504,"130-144 Holts La on PS265074B Darley VIC 3340","iPlanning Services Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","subdivision (51 lots) - residential","Tenders To Be Called",2550000,"Documentation","NULL","0","Tenders To Be Called",14.7516039171346,"other"
"882",31505,"BAPTCARE PENINSULA VIEW COMMUNITY","Baptcare Peninsula View Commun","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","retirement village","Development Approval",1e+07,"Documentation","NULL","0","Development Approval",16.1180956509583,"aged_care"
"883",31510,"UOO - FOOD SCIENCE &amp; HUMAN NUTRITION OVERALL","Calibre Consulting Ltd - Dunedin","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","buildings (2) for university - redevelopment - up to 3 storey","Sketch plans",1.5e+07,"Documentation","NULL","0","Sketch plans",16.5235607590665,"other"
"884",31514,"23 Blue Gum Rd Lot 1-3 DP 343923 & Lot 5 DP 14278 Jesmond NSW 2299","Shaddock Smith Architects","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","apartments (27) | shop - 4 storey","Tenders To Be Called",5565000,"Documentation","NULL","0","Tenders To Be Called",15.5320075426918,"apartment"
"885",31516,"55 CLARENCE STREET","Gray Puksand - Sydney","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","shops | restaurants | lobby for office building - alterations & additions - single level","Construction Commenced",6983000,"Construction","NULL","0","Construction Commenced",15.7589891818282,"commercial"
"886",31526,"34 Byron St Lot 1 on TP921104 Elwood VIC 3184","Designworx Architects Pty Ltd","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (10) - 3 storey","Tenders To Be Called",3200000,"Documentation","NULL","0","Tenders To Be Called",14.97866136777,"apartment"
"887",31542,"77 South Rd Lot 87 on PS000476 Brighton VIC","Nixon Tulloch Fortey Architect","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","townhouses (5) - 2 storey","Construction Certificate Submitted",3200000,"Documentation","NULL","0","low_chance",14.97866136777,"townhouse"
"888",31546,"NSW FAST RAIL NETWORK","Transport For NSW (RailCorp NS","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","railway lines - upgrade","Feasibility/EIS/Submission of Proposals/Master Planning",2.95e+08,"Concept","NULL","0","low_chance",19.5024859143041,"other"
"889",31552,"TOWAMBA - BURRAGATE ROAD SAFETY UPGRADES","Bega Valley Shire Council","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NSW","New South Wales","road - upgrade & sealing","Construction Commenced",1e+07,"Construction","NULL","0","Construction Commenced",16.1180956509583,"road"
"890",31557,"MONASH RURAL HEALTH MILDURA","Monash University - Buildings","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","student accommodation units (40)","Feasibility/EIS/Submission of Proposals/Master Planning",5340000,"Concept","NULL","0","low_chance",15.4907362109364,"other"
